"country_iso"	"desktop_penetration"	"mobile_penetration"	"desktop_penetration_rank"	"mobile_penetration_rank"
"AD"	12.0556753004786	1.72060502729505	90	187
"AE"	12.7267248707352	0.588478930688844	99	156
"AF"	933.333333333333	0.0158970083326507	190	32
"AG"	64.4361833952912	0.555648163582819	168	153
"AL"	35.3462378204518	0.447069173138353	157	139
"AM"	42.9997440491425	0.268766088170059	164	114
"AO"	68.9669629381184	0.32141033953728	171	124
"AR"	7.04913445231376	0.272883580336805	39	115
"AT"	18.1497054696829	0.798934502240203	127	166
"AU"	15.2504565995851	1.127063797777	115	175
"AW"	9.89583333333335	1.26322744896075	69	181
"AZ"	6.23480539476119	0.412038402828707	31	134
"BA"	9.97159538863686	0.252053736710968	70	109
"BB"	6.48986695772737	0.421579235817372	35	136
"BD"	20.1410581483364	0.0352209879011147	133	49
"BE"	11.0373089856383	0.677079639393458	82	161
"BF"	15.4332896056795	0.00177921918254486	116	6
"BG"	10.7321871182909	0.333098650193424	80	127
"BH"	9.13023133723651	0.945824522527513	58	171
"BI"	1594.20289855072	0.00394192596984191	191	11
"BJ"	146.688058675224	0.0103869696711911	183	21
"BM"	4.26006910013353	0.46136811023622	10	144
"BN"	12.5833647917453	0.382973019550773	97	132
"BO"	14.0382064956686	0.123732651531254	108	79
"BR"	4.50153933428626	0.167397074069836	11	93
"BS"	29.6774193548387	0.627177700348432	152	157
"BT"	11.2299204140423	0.0367419447878796	88	50
"BW"	14.821676702177	0.0247384649485638	113	44
"BY"	3.27594320341234	0.242974857384323	5	106
"BZ"	25.9615384615385	0.512236767216847	146	149
"CA"	12.7840176212225	1.29120767808232	100	183
"CD"	121.185890499892	0.00372797735504548	180	9
"CF"	Inf	0	192	1
"CG"	182.648401826484	0.00449677491303237	184	12
"CH"	13.0561020510797	0.868652556548415	101	169
"CI"	25.230539613724	0.00825129228129769	144	17
"CL"	9.41356980912502	0.472198517705288	61	147
"CM"	78.1065088757396	0.00829893213171606	174	18
"CN"	0.308592560039459	0.00663561083177525	1	15
"CO"	5.30227656888547	0.240473140216018	18	105
"CR"	8.36097451802994	0.470016826191883	53	146
"CU"	212.686567164179	0.010021556367747	186	20
"CV"	8.48576277578729	0.0200442175439019	56	39
"CW"	6.0995239288399	0.456026058631922	30	140
"CY"	9.54916499812975	0.368277666629532	63	130
"CZ"	22.6200561165079	0.460011853859176	138	142
"DE"	10.9880661999411	0.524423993176634	81	151
"DJ"	17.5072005421585	0.20481478598903	124	99
"DK"	10.7128779964482	1.25763622106323	79	180
"DM"	9.37470704040501	0.138883102092968	60	83
"DO"	10.538320509304	0.260857940026586	77	112
"DZ"	6.6640625	0.0374921629902158	37	51
"EC"	8.43026636033023	0.139790129266474	54	84
"EE"	25.0057110879486	0.770036810779307	141	165
"EG"	7.33874024897135	0.0704393752305275	40	63
"ER"	68.4931506849316	0	169	1
"ES"	10.630375313965	0.705505241115045	78	162
"ET"	4.53653803341076	0.00467893444286466	12	13
"FI"	20.04709917198	2.20060752946047	132	193
"FJ"	27.5272899857618	0.0680994024277437	149	61
"FO"	13.7724550898204	1.81932119104894	106	190
"FR"	9.18915371308691	0.671945353079302	59	160
"GA"	20.2247191011236	0.0717827423519975	134	65
"GB"	13.5595569938834	1.65327331188306	103	186
"GD"	5.00000000000001	0.566588288620074	16	154
"GE"	9.63961263857979	0.140722374857602	65	85
"GH"	41.7181481212298	0.0393752491353079	162	52
"GL"	10.2760679876803	0.17704442044509	74	97
"GM"	136.986301369863	0.00540875591041802	182	14
"GN"	187.5	0.00672361930813689	185	16
"GQ"	19.8976691301876	0	131	1
"GR"	7.69482067336234	0.320875158896654	44	123
"GT"	11.7286275353742	0.0905082510230826	89	72
"GW"	Inf	0.0158390749980201	192	31
"GY"	5.42005420054201	0.162151936364373	22	90
"HK"	14.200721869498	1.77113043478261	110	189
"HN"	25.1027598355843	0.133895781446036	143	82
"HR"	9.77166816378481	0.460883673901286	66	143
"HU"	12.3699898021766	0.327363760851881	94	125
"ID"	14.078356602497	0.055029577076969	109	57
"IE"	16.2324122133567	1.76050169728467	119	188
"IL"	24.0145505215713	1.92073851651488	140	191
"IN"	16.4133425034388	0.0864150210631113	122	69
"IR"	12.398872771248	0.167519285676922	96	94
"IS"	25.4558803373847	1.17646330363279	145	177
"IT"	10.4212994299105	0.876467357866921	75	170
"JM"	8.27805993950804	0.158379373848987	51	87
"JO"	27.5055466192181	0.49388450224493	148	148
"JP"	5.53093187666966	0.334776673920475	23	128
"KE"	77.4989918117582	0.0175668242794081	173	35
"KG"	25.0911305496495	0.0734329923944401	142	66
"KH"	71.9799068855672	0.0218035226431895	172	42
"KI"	9.09090909090906	0	57	1
"KM"	30.7692307692307	0.0287769784172662	154	46
"KN"	3.00751879699249	0.369064973888653	4	131
"KR"	2.19358979167914	0.466749392553742	2	145
"KW"	81.7021276595744	1.06276487484905	175	173
"KY"	13.7693631669535	1.19791221014803	105	178
"KZ"	4.11322775174383	0.161995521880313	8	89
"LA"	37.7777777777778	0.0178515841607357	158	36
"LB"	8.45507246214605	0.819650832783736	55	168
"LC"	6	0.329176564823095	29	126
"LI"	22.5	1.38504155124654	137	184
"LK"	17.8523434856785	0.0475447693579657	126	54
"LR"	Inf	0.0156531512141367	192	29
"LS"	39.5604395604397	0.0111713432702432	160	22
"LT"	12.3563506573826	0.29092178567792	93	119
"LU"	15.0072615013342	0.994105323618102	114	172
"LV"	11.0488228773989	0.427141356471812	83	137
"LY"	16.3833075734157	0.0677253209333646	121	60
"MA"	21.3967061750249	0.29174612936502	135	120
"MC"	26.0416666666667	2.81976088427701	147	194
"MD"	6.33537718247717	0.123630233211576	34	78
"ME"	13.8467541949371	0.579352830701838	107	155
"MG"	107.109481705125	0.0470810020189299	179	53
"MK"	10.4293254493679	0.156609044029921	76	86
"ML"	92.8154004812649	0.00392114575879072	178	10
"MM"	17.2035791836692	0.247351581732866	123	107
"MN"	21.6848327834594	0.0704455292273217	136	64
"MO"	9.88168331181321	0.670933568748621	68	159
"MR"	42.485395645247	0.0308492806976051	163	48
"MT"	14.4221725314095	0.803247007904896	111	167
"MU"	6.52282594899019	0.208284637156591	36	100
"MV"	29.7914597815293	0.405770050112601	153	133
"MW"	87.5963559915907	0.0151227475612679	177	28
"MX"	4.79576710257876	0.248272168083324	15	108
"MY"	6.88060251320044	0.22747948856823	38	103
"MZ"	33.9209253183562	0.01209551586972	156	24
"NC"	5.84473054574456	0.162826173207853	26	91
"NE"	23.4375	0.00285457374077616	139	7
"NG"	501.827849783981	0.0139886417887003	188	27
"NI"	9.49220500125299	0.0920980225567792	62	74
"NL"	11.1878986827565	1.20743451170372	86	179
"NO"	18.9671751479841	1.56760467252404	129	185
"NP"	40.3308856988212	0.200353840992043	161	98
"NZ"	12.1229394204147	0.74035966717366	91	164
"OM"	16.1683184948765	0.313838286288791	118	122
"PA"	7.42041520748623	0.346775633577198	41	129
"PE"	8.25168988129381	0.119489964470867	50	77
"PF"	5.34521158129176	0.295483326298016	21	121
"PG"	5.30973451327433	0.0133333333333333	20	25
"PH"	11.2134639303483	0.102852245208615	87	75
"PK"	29.1473788695418	0.0634113989238819	151	59
"PL"	12.6658206162635	0.257716406841553	98	110
"PR"	4.74384080919868	0.519198771276304	13	150
"PS"	8.09983179242088	0.175631691186108	48	96
"PT"	5.59507674916028	0.259087023220125	24	111
"PW"	6.25	0.529100529100529	32	152
"PY"	16.3283482391361	0.166120404951564	120	92
"QA"	14.7572707402303	0.645556061241137	112	158
"RO"	5.89994723031861	0.216894954868067	28	101
"RS"	16.0293564433056	0.290341564516687	117	118
"RU"	5.62087302258103	0.262648338035672	25	113
"RW"	258.899676375404	0.013454608188355	187	26
"SA"	10.2754531735287	0.718723973572325	73	163
"SB"	5.30785562632696	0	19	1
"SC"	7.79979935107605	0.224283135029661	45	102
"SD"	28.2119027361068	0.0216936405996484	150	41
"SE"	19.0605402818807	2.06931377593783	130	192
"SG"	12.2299428537821	1.09831086086828	92	174
"SI"	18.7796764954127	0.456203493936376	128	141
"SK"	9.87637723022961	0.236419937219424	67	104
"SM"	13.6839018668752	1.27194098193844	104	182
"SN"	9.55655701610561	0.0167507095448284	64	34
"SO"	10.1666666666667	0.0212232297896971	71	40
"SR"	7.54818708720852	0.278150705761057	42	116
"SS"	800	0.00350480228008418	189	8
"ST"	10.2249488752556	0.0797899927391106	72	67
"SV"	7.57954090649892	0.126173930131817	43	80
"SY"	2.87990435877156	0.0805460580754822	3	68
"SZ"	4.76190476190477	0.0111982082866741	14	23
"TG"	39.0455531453364	0.00938307897761034	159	19
"TH"	5.21518473406415	0.0871505185858778	17	70
"TJ"	82.7586206896552	0.0597046609438644	176	58
"TL"	68.6779471381577	0.0295843464595141	170	47
"TM"	50	0.0229004486961248	165	43
"TN"	11.1093502221056	0.0891011803609976	85	71
"TO"	17.6470588235294	0.173913043478261	125	95
"TR"	7.84223812274903	0.434101622385909	47	138
"TT"	6.30084216134255	0.283338714283477	33	117
"TZ"	33.9094079340309	0.0156689419306461	155	30
"UA"	13.4031119854162	0.161575393056875	102	88
"UG"	57.5903614457833	0.0162957020508322	167	33
"US"	12.373936645731	1.13680144758605	95	176
"UY"	8.31983732565147	0.416781379382001	52	135
"UZ"	3.37356577832042	0.0253658149355186	6	45
"VC"	4.10846343467544	0.0914302432958774	7	73
"VE"	5.89338285574438	0.108862932589145	27	76
"VN"	4.12247544943726	0.0531719818212017	9	55
"VU"	133.333333333334	0.133333333333333	181	81
"YE"	7.8271028037383	0.054616585632276	46	56
"ZA"	8.15905979182505	0.0704012803142864	49	62
"ZM"	54.3778801843318	0.0192385367899982	166	37
"ZW"	11.1031726108869	0.0198046426043193	84	38
