"country_name"	"country_code"	"mobile_subscriptions"	"broadband_subscriptions"	"internet_subscriptions"	"population"	"mobile_subscriptions_capped"	"internet_population"	"broadband_population"	"mobile_population"
"Afghanistan"	"AFG"	70.0049103692321	0.00490971460352713	5.9	30551674	70.0049103692321	180254876.6	150000	2138767200
"Albania"	"ALB"	116.157208130034	5.75292812999583	60.1	2773620	100	166694562	15956436.519919	277362000
"Algeria"	"DZA"	102.010781215784	3.26462371615484	16.5	39208194	100	646935201	1.28e+08	3920819400
"American Samoa"	"ASM"	NA	NA	NA	55165	NA	NA	NA	NA
"Andorra"	"AND"	80.7026180918478	34.5540155015274	94	79218	80.7026180918478	7446492	2737300	6393100
"Angola"	"AGO"	61.8732971124952	0.222172357947128	19.1	21471618	61.8732971124952	410107903.8	4770400	1328519800
"Antigua and Barbuda"	"ATG"	127.085625382008	4.48408068011335	63.4	89985	100	5705049	403500	8998500
"Arab World"	"ARB"	109.533404518828	3.172854555808	36.8686015566291	369761523	100	13632590262.4593	1173199532.81305	36976152300
"Argentina"	"ARG"	159.025454319795	13.855414070553	59.9	41446246	100	2482630135.4	574254900.000001	4144624600
"Armenia"	"ARM"	112.420655211408	7.87551829860316	46.3	2976566	100	137815005.8	23442000	297656600
"Aruba"	"ABW"	134.873823012117	18.656897707728	78.9	102911	100	8119677.9	1920000	10291100
"Australia"	"AUS"	106.843497367233	25.0144018094336	83	23130900	100	1919864700	578605626.813828	2313090000
"Austria"	"AUT"	156.230411605688	26.0148590753895	80.6188	8473786	100	683146458.7768	220444348.625008	847378600
"Azerbaijan"	"AZE"	107.613407242001	17.0326831268551	58.7	9416598	100	552754302.6	160389929.866977	941659800
"Bahamas, The"	"BHS"	76.0518742679676	4.10733118868815	72	377374	76.0518742679676	27170928	1550000	28700000
"Bahrain"	"BHR"	165.90888106707	13.1546175378386	90	1332171	100	119895390	17524200	133217100
"Bangladesh"	"BGD"	67.0845336646271	0.631898362094178	6.5	156594962	67.0845336646271	1017867253	98952100	10505100000
"Barbados"	"BRB"	108.10275291241	23.8185241916218	75	284644	100	21348300	6779800	28464400
"Belarus"	"BLR"	118.786176033844	29.7645168509593	54.17	9466000	100	512773220	281750916.511181	946600000
"Belgium"	"BEL"	110.903179942935	34.3950763638014	82.1702	11195138	100	919906728.4876	385057626.413295	1119513800
"Belize"	"BLZ"	52.9376318168123	3.13347393793311	31.7	331900	52.9376318168123	10521230	1040000	17570000
"Benin"	"BEN"	93.2578219308733	0.0422629049097232	4.9	10323474	93.2578219308733	50585022.6	436300	962744700
"Bermuda"	"BMU"	144.319799207236	61.3703493977747	95.3	65024	100	6196787.2	3990545.5992409	6502400
"Bhutan"	"BTN"	72.1983110218623	2.71650394523753	29.9	753947	72.1983110218623	22543015.3	2048100	54433700
"Bolivia"	"BOL"	97.6994527325887	1.32839793087938	39.5	10671200	97.6994527325887	421512400	14175600	1042570400
"Bosnia and Herzegovina"	"BIH"	91.1736510026488	11.7587594831127	67.9	3829307	91.1736510026488	260009945.3	45027899.9999998	349131900
"Botswana"	"BWA"	160.641052789905	1.06820691647898	15	2021144	100	30317160	2158999.99999999	202114400
"Brazil"	"BRA"	135.305048102328	10.0771995477684	51.6	200361925	100	10338675330	2019087100.00001	20036192500
"Brunei Darussalam"	"BRN"	112.214445742297	5.70653734944373	64.5	417784	100	26947068	2384100	41778400
"Bulgaria"	"BGR"	145.187688730203	18.968694616585	53.0615	7265115	100	385497899.5725	137809747.789371	726511500
"Burkina Faso"	"BFA"	66.3772829490732	0.0765227233633576	4.4	16934839	66.3772829490732	74513291.6	1295900	1124088600
"Burundi"	"BDI"	24.9625880636833	0.000678964651722622	1.3	10162532	24.9625880636833	13211291.6	6900	253683100
"Cabo Verde"	"CPV"	100.112448060421	4.25177942541246	37.5	498897	100	18708637.5	2121200	49889700
"Cambodia"	"KHM"	133.890239349161	0.215709517349955	6	15135169	100	90811014	3264800	1513516900
"Cameroon"	"CMR"	70.3904685004587	0.0759415437046505	6.4	22253959	70.3904685004587	142425337.6	1690000	1566466600
"Canada"	"CAN"	78.3978172290916	33.2840615110627	85.8	35158304	78.3978172290916	3016582483.2	1170211152.96064	2756334291.07684
"Caribbean small states"	"CSS"	106.156088720352	8.21667839438155	46.1695788260821	7002680	100	323310786.253829	57538769.4587678	700268000
"Cayman Islands"	"CYM"	167.769316334389	34.7993497048002	74.1	58435	100	4330033.5	2033500	5843500
"Central African Republic"	"CAF"	29.4665754848403	0	3.5	4616417	29.4665754848403	16157459.5	0	136030000
"Central Europe and the Baltics"	"CEB"	131.360133624085	18.0422232795431	63.2909720670007	104199533	100	6594889732.49752	1879991240.01012	10419953300
"Chad"	"TCD"	35.5643768253939	0.115318814026698	2.3	12825314	35.5643768253939	29498222.2	1479000.00000001	456124300
"Channel Islands"	"CHI"	NA	NA	NA	162018	NA	NA	NA	NA
"Chile"	"CHL"	134.27828088865	12.2509748742715	66.5	17619708	100	1171710582	215858600.000001	1761970800
"China"	"CHN"	88.7083346182169	13.6340619490582	45.8	1357380000	88.7083346182169	62168004000	18506603008.4126	120410919244.075
"Colombia"	"COL"	104.084543899334	9.28522670232788	51.7	48321405	100	2498216638.5	448675200	4832140500
"Comoros"	"COM"	47.2842511467281	0.176890723714379	6.5	734917	47.2842511467281	4776960.5	130000	34750000
"Congo, Dem. Rep."	"COD"	43.7046511331326	0.00684453907020943	2.2	67513677	43.7046511331326	148530089.4	462100	2950661700
"Congo, Rep."	"COG"	104.769504311508	0.0098479370595409	6.6	4447632	100	29354371.2	43800	444763200
"Costa Rica"	"CRI"	145.971647928252	9.72111787652555	45.96	4872166	100	223924749.36	47362900	487216600
"Cote d'Ivoire"	"CIV"	95.4460519609929	0.277026785572772	2.6	20316086	95.4460519609929	52821823.6	5628100	1939090200
"Croatia"	"HRV"	114.509568703182	21.5372167002276	66.7476	4252700	100	283857518.52	91591321.4610579	425270000
"Cuba"	"CUB"	17.7149274132851	0.0475783464909061	25.7089320853472	11265629	17.7149274132851	289627290.859718	536000	199569800
"Curacao"	"CUW"	128.18216175359	24.5653817082388	NA	153500	100	NA	3770786.09221466	15350000
"Cyprus"	"CYP"	95.1778268893395	19.9134043601019	65.4548	1141166	95.1778268893395	74694792.2968	22724500	108613700
"Czech Republic"	"CZE"	131.253423946504	17.0338856591782	74.1104	10521468	100	779750202.0672	179221482.878702	1052146800
"Denmark"	"DNK"	127.472728709387	40.1736329117709	94.6297	5613706	100	531223314.6682	225522964.118606	561370600
"Djibouti"	"DJI"	27.9658667570899	2.02845124247937	9.5	872932	27.9658667570899	8292854	1770700	24412300
"Dominica"	"DMA"	129.959862783495	14.8146605002569	59	72003	100	4248177	1066700	7200300
"Dominican Republic"	"DOM"	88.4335001544153	4.66078565241935	45.9	10403761	88.4335001544153	477532629.9	48489700	920041000
"East Asia & Pacific (all income levels)"	"EAS"	97.5969573814089	12.2770218547872	44.2784956960574	2248641459	97.5969573814089	99566461164.3077	27606620335.7236	219460564640.092
"East Asia & Pacific (developing only)"	"EAP"	94.9958510630152	10.1955773051804	39.4821762861319	2005808800	94.9958510630152	79193696637.8747	20450378679.8111	190543514025.685
"Ecuador"	"ECU"	111.46200269185	6.33882153616898	40.3536842279418	15737878	100	635081359.229872	99759600	1573787800
"Egypt, Arab Rep."	"EGY"	121.507893024476	3.25976610861376	49.56	82056378	100	4066714093.68	267484600	8205637800
"El Salvador"	"SLV"	136.187440205386	4.45297765743589	23.1093	6340454	100	146523453.6222	28233900	634045400
"Equatorial Guinea"	"GNQ"	67.4733888673129	0.46472059961903	16.4	757014	67.4733888673129	12415029.6	351800	51078300
"Eritrea"	"ERI"	5.60297546159998	0.00230533535129126	0.9	6333135	5.60297546159998	5699821.5	14600	35484400
"Estonia"	"EST"	159.660703312718	26.5375594969435	80.0043	1324612	100	105974655.8316	35151969.7603653	132461200
"Ethiopia"	"ETH"	27.2546853927507	0.252991591268406	1.9	94100756	27.2546853927507	178791436.4	23806700	2564686500
"Euro area"	"EMU"	121.518081907232	30.6158629071809	75.8189348573712	334048965	100	25327236716.5073	10227197316.7257	33404896500
"European Union"	"EUU"	123.934282287604	28.9951339659446	75.4976231672564	506739265	100	38257610073.0225	14692972874.4793	50673926500
"Europe & Central Asia (all income levels)"	"ECS"	125.178819315867	22.1964605938077	65.3915478274907	898926561	100	58782199207.0332	19952987987.9636	89892656100
"Europe & Central Asia (developing only)"	"ECA"	111.515754961295	11.0322735400701	45.9036031901793	272208706	100	12495360425.1362	3003080904.58052	27220870600
"Faeroe Islands"	"FRO"	120.681639006246	33.7585154339081	90	49469	100	4452210	1670000	4946900
"Fiji"	"FJI"	101.128066601216	1.19571200762713	37.1	881065	100	32687511.5	1053500	88106500
"Finland"	"FIN"	171.718491508891	30.8956912443288	91.5144	5439407	100	497784067.9608	168054239.224241	543940700
"Fragile and conflict affected situations"	"FCS"	58.7968261275867	0.440329306695081	8.92508602408507	446372465	58.7968261275867	3983912648.9079	196550878.041224	26245284212.7473
"France"	"FRA"	98.4954724808714	38.792197013343	81.9198	66028467	98.4954724808714	5409038810.9466	2561389300.35302	6503505054.35262
"French Polynesia"	"PYF"	85.575676134537	16.2192818000874	56.8	276831	85.575676134537	15724000.8	4490000	23690000
"Gabon"	"GAB"	214.750037536392	0.532388672443981	9.2	1671711	100	15379741.2	890000	167171100
"Gambia, The"	"GMB"	99.9766936951308	0.0236848295422285	14	1849285	99.9766936951308	25889990	43800	184885400
"Georgia"	"GEO"	115.025104269972	10.2420123039143	43.1	4476900	100	192954390	45852464.8833939	447690000
"Germany"	"DEU"	119.030600861203	34.5758849152146	83.9614	80621788	100	6769118190.9832	2787569663.54683	8062178800
"Ghana"	"GHA"	108.19114815061	0.265570614143481	12.3	25904598	100	318626555.4	6879499.99999999	2590459800
"Greece"	"GRC"	116.820647753997	26.1509401068836	59.8663	11032328	100	660464657.7464	288505748.767495	1103232800
"Greenland"	"GRL"	105.989085229965	18.9516907364838	65.8	56483	100	3716581.4	1070448.34786881	5648300
"Grenada"	"GRD"	125.593737310783	16.9976486586022	35	105897	100	3706395	1800000	10589700
"Guam"	"GUM"	NA	1.8168164530898	65.4	165124	NA	10799109.6	3e+05	NA
"Guatemala"	"GTM"	140.393535047348	1.80243949474933	19.7	15468203	100	304723599.1	27880500.0000001	1546820300
"Guinea-Bissau"	"GNB"	74.0910251106789	0	3.1	1704255	74.0910251106789	5283190.5	0	126270000
"Guinea"	"GIN"	63.3150390342803	0.00681129950314124	1.6	11745189	63.3150390342803	18792302.4	80000	743647100
"Guyana"	"GUY"	69.4129535162635	4.61473237678727	33	799613	69.4129535162635	26387229	3690000	55503500
"Haiti"	"HTI"	69.3988569474602	NA	10.6	10317461	69.3988569474602	109365086.6	NA	716020000
"Heavily indebted poor countries (HIPC)"	"HPC"	58.0493051112785	0.179233342082105	7.19866737208576	673564609	58.0493051112785	4848767573.8	120725235.979296	39099957500
"High income"	"HIC"	120.288880934296	27.0580777096924	78.2051899661893	1306132071	100	102146306733.487	35341423076.2395	130613207100
"High income: nonOECD"	"NOC"	154.50903261217	16.4374183528737	65.6841897423111	251690488	100	16532085770.1269	4137141846.69494	25169048800
"High income: OECD"	"OEC"	112.184588262661	29.5766167285131	81.1718516097076	1054441583	100	85590975706.3812	31186814562.9976	105444158300
"Honduras"	"HND"	95.919168533043	0.84122776772827	17.8	8097688	95.919168533043	144138846.4	6812000	776723500
"Hong Kong SAR, China"	"HKG"	238.682432526226	30.7541010095177	74.2	7187500	100	533312500	221045101.005908	718750000
"Hungary"	"HUN"	116.427872350022	24.120132906865	72.6439	9897247	100	718974621.3433	238722913.052071	989724700
"Iceland"	"ISL"	108.111126284006	35.1483150499947	96.5468	323002	100	31184809.4936	11352976.0577784	32300200
"India"	"IND"	70.7831816701051	1.16121237970978	15.1	1252139596	70.7831816701051	18907307899.6	1.454e+09	88630424500
"Indonesia"	"IDN"	121.54340666404	1.30141948173737	15.82	249865631	100	3952874282.42	325180000.000001	24986563100
"Iran, Islamic Rep."	"IRN"	84.2461005159027	5.6182841960083	31.4	77447168	84.2461005159027	2431841075.2	435120200	6524621900
"Iraq"	"IRQ"	96.1047742837958	NA	9.2	33417476	96.1047742837958	307440779.2	NA	3211578988.11416
"Ireland"	"IRL"	102.755635028126	24.2383632511687	78.2477	4595281	100	359570169.1037	111382090.119194	459528100
"Isle of Man"	"IMN"	NA	NA	NA	85888	NA	NA	NA	NA
"Israel"	"ISR"	122.847835240104	25.6687318896428	70.8	8059400	100	570605520	206874577.791387	805940000
"Italy"	"ITA"	158.883533190053	22.299285507426	58.4593	59831093	100	3497683815.0149	1334190625.02836	5983109300
"Jamaica"	"JAM"	100.423328812079	4.76085963228406	37.8	2715000	100	102627000	12925733.9016512	271500000
"Japan"	"JPN"	115.188593443458	28.8370925729107	86.25	127338621	100	10982956061.25	3672075601.88379	12733862100
"Jordan"	"JOR"	141.796274546492	2.82564860535739	44.2	6459000	100	285487800	18250864.3420034	645900000
"Kazakhstan"	"KAZ"	180.502081860099	11.6011679875644	54	17037508	100	920025432	197654992.397472	1703750800
"Kenya"	"KEN"	70.5894285100196	0.128586818174839	39	44353691	70.5894285100196	1729793949	5703299.99999999	3130901700
"Kiribati"	"KIR"	16.6095104102549	1.07473302654591	11.5	102351	16.6095104102549	1177036.5	110000	1700000
"Korea, Dem. Rep."	"PRK"	9.72064005192911	0	NA	24895480	9.72064005192911	NA	0	2.42e+08
"Korea, Rep."	"KOR"	110.998467846808	38.0351173620251	84.77	50219669	100	4257121341.13	1910111004.29705	5021966900
"Kosovo"	""	NA	NA	NA	1824000	NA	NA	NA	NA
"Kuwait"	"KWT"	190.288347703419	1.39524997536048	75.46	3368572	100	254192443.12	4700000	336857200
"Kyrgyz Republic"	"KGZ"	121.449818910986	0.961614032001165	23.4	5719500	100	133836300	5499951.45603066	571950000
"Lao PDR"	"LAO"	66.1975734028861	0.132944799694286	12.5	6769727	66.1975734028861	84621587.5	9e+05	448139500
"Latin America & Caribbean (all income levels)"	"LCN"	114.530667002259	9.1331276620827	46.7240452082802	615332338	100	28750815978.8288	5619908797.56182	61533233800
"Latin America & Caribbean (developing only)"	"LAC"	113.841915474914	8.89605747385043	45.8126343023013	588019503	100	26938722453.56	5231055294.43297	58801950300
"Latvia"	"LVA"	136.564248357693	24.6791105960688	75.2344	2013385	100	151475812.444	49688551.087466	201338500
